"model","label","is_default"
"saas.module","alpha",""
"saas.module","beta",""
"saas.module","new",""
"saas.module","production","1"
"saas.module","deprecated",""
"saas.subscription","created","1"
"saas.subscription","ongoing",""
"saas.subscription","to_renew",""
"saas.subscription","revoked",""
"saas.subscriptioncategory","back-office_only",""
"saas.subscriptioncategory","front-office",""
"saas.accessaccount","created","1"
"saas.accessaccount","ongoing",""
"saas.accessaccount","suspended",""
"saas.accessaccount","terminated",""
"saas.notification","new","1"
"saas.notification","read",""